LEGEND,name,professors,description,deptLevel,distArea,rating,primaryDept
NULL,Issues in American Public Health , Leslie E. Gerwin ," The study of public health is an interdisciplinary inquiry involving issues of politics  policy  history  science  law  philosophy  ethics  geography  sociology  environmental studies  and economics  among others. Students will examine the government's role in assuring and promoting health  through the exploration of issues on America's ""public health agenda "" such as epidemic response  tobacco use  the impact of weight on health  mandatory vaccination  disease prevention  and violence. In doing so  they will consider the impact of race  income  gender  place and environment  education  capitalism and democracy on health outcomes. ", AMS 306 GHP 411 , SA ,4.244,AMS
NULL,Sugar: A Commodity History of the United States , Bernadette J. Perez , Moving from the colonial era to the present  and from the Caribbean to the Midwest and the Pacific  we will place sugar in the history of European colonialism  trans-Atlantic slavery  capitalism  American Empire  and global immigration restrictions. During this period  the United States built a sugar empire that relied upon differentially racialized laborers  who worked under a variety of coercive labor systems. We will explore how the production and consumption of sugar connected diverse people and places in unequal ways  focusing on themes such as labor  migration  race  gender  citizenship  identity  power  resistance  and the land. , AMS 353 HIS 445 , HA ,-1,AMS
NULL,Environmental and Social Crisis , Laurel Mei-Singh ," In recent years  public discourse has stressed the urgency of impending environmental crisis. With the premise that ""there's no such thing as a natural disaster "" we will explore the social and political elements of environmental crisis. Our baseline definition of crisis will be: a moment when an existing set of relations is markedly upset. We will look at how war and capitalism precipitate environmental crises and how state and corporate institutions also benefit from these disasters. Our studies will begin with apocalyptic texts--which are reflections and exaggerations of existing realities--alongside environmental justice scholarship. ", AMS 364 ENV 365 , EM ,3.96,AMS
NULL,American Noir: Crime Fiction and Film , Lee C. Mitchell , A study of the emergence during the high modernist period of two genres that might be considered at once eminently American  distinctively modernist  and brazenly vulgar. The subject matter may be louche  but writers thereby more directly engaged issues of social inequality (racial  sexual  and economic)  along with changing images of gender construction. As well they registered the impact of Freudian psychoanalysis on literary form  and in formal terms engaged the belatedness of narrative to event. Such fiction had tremendous appeal for cinema  and we will focus on the ways in which adaptation modified popular formulas. , AMS 367 , LA ,-1,AMS
NULL,American Legal Thought , Hendrik A. Hartog ," This course surveys American legal thought and the practices of American lawyers. Along the way  it questions the notion of distinctive ""schools "" as well as the distinctive legality and the distinctive Americanness of legal thought. It offers an intellectual history of 20th century American law  with an emphasis on core controversies and debates. ", AMS 390 HIS 382 , EM ,-1,AMS
NULL,In the Groove: Technology and Music in American History  From Edison to the iPod , Emily Thompson , When Thomas Edison invented the phonograph in 1877  no one  including Edison  knew what to do with the device. Over the next century Americans would engage in an ongoing dialogue with this talking machine  defining and redefining its purpose. This course will track that trajectory  from business tool to scientific instrument to music recorder to musical instrument. By listening to the history of the phonograph  and by examining the desires and experiences of phonograph users  students will perceive more generally the complex relationships that exist between a technology and the people who produce  consume  and transform it. , AMS 399 HIS 399 , HA ,4.4766666666666675,AMS
NULL,Introduction to Anthropology , Naomi S. Stone , This course provides an introduction to core anthropological modes of inquiry into being human across space and time. Engaging key concepts of culture as lenses on contemporary phenomena  we will explore universalism and variation across societies. How do communities express difference and identity  make meaning  transmit knowledge  circulate objects and power  live  love  wish and dream? Case-studies vary  from women's piety movements in Cairo to the role of mosquitos  germs  and machines in making lives and worlds. We will also consider anthropology's colonial origins  examining intersections between knowledge and domination. , ANT 201 , SA ,3.2816666666666667,ANT
NULL,Religion  Ideology  and Media , Carolyn M. Rouse , This course explores how media shapes cultural and social identities. From televangelism to political talk radio  the mass marketing of faith and political ideologies is contributing to how people understand themselves as gendered  raced  and classed subjects. But are these programs helping to sustain a fragile consensus within our nation-state  or is this media threatening radical disunity? This course examines what is at stake culturally in this religious and ideological war of symbols generated within mediascapes. , ANT 208 REL 208 , SA ,3.9799999999999995,ANT
NULL,Debt , Julia Elyachar ," Average credit card debt of Americans is $16 000; average college loan debt $30 000. How and why do people go into debt? Why is debt negatively linked to ""usury"" in some cultures while in others not having debt is a mark of being ""underleveraged""? How can ""debt"" sometimes be an instrument of social solidarity and other times be a source of social discord? In this course we will draw on history  political theory  economics  and anthropology to look at debates about ""debt"" in different places and times as diverse as 4th century Greece  18th century England  19th century Egypt  and the 2008 Financial Crisis and its aftermath around the world. ", ANT 225 , SA ,-1,ANT
NULL,Social Lives  Social Forces , Carol J. Greenhouse , This seminar takes up the connection between authority and obligation as a cultural question. We draw on diverse sources (anthropology  case studies  social theory  literature  public documents  art  etc.) to probe conceptual and real-life gray zones between individual and community  liberty and constraint  state and private sector. We consider formal and informal institutions (e.g.  courts  legislatures  police  workplaces  families) and a range of formal and informal norms (from court rulings to common sense). Authority and obligation emerge as complex social relations that shape and are shaped within and across cultural contexts. , ANT 232 , SA ,4.292,ANT
NULL,Ethnography  Evidence and Experience , Rena S. Lederman ," This course connects ethnographic theory (e.g.  about culture  relationality  context  and interpretation) to everyday experience and vice versa. Readings from academic and media sources align with weekly journal writing to cultivate students' ethnographic awareness of their own and others' embodied knowledge and the ethics  politics  and ritual dimensions of relationships  language  and more. Throughout we scrutinize how ""experience"" becomes ethnographic ""evidence"" and how the immediacies of participant-observation fieldwork bear on wide-angle questions about power/value hierarchies  historical and cultural context  and societal dynamics. ", ANT 300A , SA ,4.398000000000001,ANT
NULL,Ethnography  Evidence and Experience , Rena S. Lederman ," This course connects ethnographic theory (e.g.  about culture  relationality  context  and interpretation) to everyday experience and vice versa. Readings from academic and media sources align with weekly journal writing to cultivate students' ethnographic awareness of their own and others' embodied knowledge and the ethics  politics  and ritual dimensions of relationships  language  and more. Throughout we scrutinize how ""experience"" becomes ethnographic ""evidence"" and how the immediacies of participant-observation fieldwork bear on wide-angle questions about power/value hierarchies  historical and cultural contexts  and societal dynamics. ", ANT 300B , SA ,4.448333333333333,ANT
NULL,Forensic Anthropology and Epigenetics in Urban America , Jeffrey D. Himpele   Janet M. Monge ," Forensic anthropology involves medico-legal cases where human remains have lost ""personhood"" (an individual cannot be identified due to decomposition or destruction of unique personal features). We will explore techniques of analysis that biological anthropologists apply to forensic cases. We will blend the sub-disciplines of social and biological anthropology by tracing the intertwined physiological and social factors that shape human variation and life experience in an urban setting. We weigh and consider epigenetic mechanisms by which external variables may bring about heritable molecular changes in the expression of genetic phenotypes. ", ANT 309A STC 310A , SA ,-1,ANT
NULL,Forensic Anthropology and Epigenetics in Urban America , Jeffrey D. Himpele   Janet M. Monge ," Forensic anthropology involves medico-legal cases where human remains have lost ""personhood"" (an individual cannot be identified due to decomposition or destruction of unique personal features). We will explore techniques of analysis that biological anthropologists apply to forensic cases. We will blend the sub-disciplines of social and biological anthropology by tracing the intertwined physiological and social factors that shape human variation and life experience in an urban setting. We weigh and consider epigenetic mechanisms by which external variables may bring about heritable molecular changes in the expression of genetic phenotypes. ", ANT 309B STC 310B ,,-1,ANT
NULL,Language  Identity  Power , Serguei A. Oushakine ," Language determines our expressive capacities  represents our identities  and connects us with each other across various platforms and cultures.This course introduces classical and contemporary approaches to studying language  focusing on three main areas: 1) language as a system of rules and regulations (""structure"")  2) language as a symbolic mechanism through which individuals and groups mark their presence (""identity"") and 3) language as a means of communication (""sign""). In addition to this  the course examines various ways through which language molds our individual selves: from organizing dreams and desires to shaping autobiographies. ", ANT 326 COM 319 , EC ,-1,ANT
NULL,Ethnography of Schools and Schooling , Jason R. Klugman , Social scientists use ethnographic methods to describe and analyze the range and variation of daily interactions in schools. Ethnographic study allows researchers the opportunity to examine power dynamics that influence the daily life of students  teachers  administrators and parents. Vivid  critical ethnography helps us discover how cultural traditions  expectations  and opportunities are passed down to the next generation and how they impact school outcomes. This class will explore educational ethnography and students will complete observations hours in local schools and prepare a descriptive  mini-ethnography of a school community. , ANT 368 TPP 368 , SA ,4.36,ANT
NULL,History of Anthropological Theory , Carol J. Greenhouse , The course surveys the development of social anthropology by examining the concepts and models used by anthropologists to analyze human diversity and universals  social stability and change  and the relationship between the individual and the group. We explore theoretical debates (evolution  exchange  function  structure  culture  agency  subjectivity  history  power  and globalization) in terms of their capacity to understand human behavior  the social world and modernity. , ANT 390A , HA ,-1,ANT
NULL,History of Anthropological Theory , Carol J. Greenhouse , The course surveys the development of social anthropology by examining the concepts and models used by anthropologists to analyze human diversity and universals  social stability and change  and the relationship between the individual and the group. We explore theoretical debates (evolution  exchange  function  structure  culture  agency  subjectivity  history  power  and globalization) in terms of their capacity to understand human behavior  the social world and modernity. , ANT 390B , HA ,4.37,ANT
NULL,Memory  Trauma  Accountability , John W. Borneman , We focus on how humans deal with traumatic loss through three major approaches to memory: psychoanalysis (Freud)  social organization (Halbwachs)  associative temporalities (Sebald). We examine genres in which the memory of loss is retained or displaced. How is a traumatic past experienced individually and collectively? We consider memory from different cultural landscapes and theoretical perspectives. A better understanding of the memory of loss  and the social forms and histories in which this memory remains active  will improve our approaches to cultural observation  documentation  analysis  and interpretation. , ANT 432 , SA ,4.5,ANT
NULL,The Anthropology of Ruins , Andrew A. Johnson , We think about ruins as belonging to the past  but they do not. They are that detritus that stays with us into the present. They can be sources of melancholy  inspiration  wonder  and horror; or lingering toxins in the soil  racist legacies of colonialism  nationalistic points of collective sentiment  and the remnants of past cities bleeding through into the present-day urban landscape. This course will examine ruins anthropologically. Students should come out of this class with an introduction to the anthropology of aesthetics  the relationship between space and place  and a new appreciation for urban infrastructures and their legacies. , ANT 445 , SA ,-1,ANT
NULL,Proseminar in Anthropology , Julia Elyachar , First term of a year-long course on sociocultural anthropology  required of first-year graduate students in anthropology and open to graduate students from other disciplines with the permission of the instructor. The seminar focuses on innovations in anthropological theorizing through writings that have historically shaped the field or revealed its shape as a distinctive discipline. , ANT 501 ,,-1,ANT
NULL,Topics in Theory & Practice (Half-Term) - Peopling Critical Theory , João Biehl , This seminar explores how contemporary anthropologists study  think  and write about power  agency  and the nature of social change  and probe the various theoretical frameworks that inform their work. We will engage scholars who mine ethnography as a mode of expression through multiple media and for diverse publics. Through which means can we illuminate both political-economic and personal realities-in-flux  and how can we bring this plasticity and unfinishedness into our storytelling? How does ethnography challenge present-day regimes of veridiction and how can the lives of our subjects become alternative figures of thought and critique? , ANT 521B ,,-1,ANT
NULL,Topics in Social Anthropology - Temporality and Ethnography , Carol J. Greenhouse , Durkheim's concept of social time continues to sustain a broad and varied ethnography; however  it encounters limits in his explicit distinction between social time and the personal experience of time. That disjunction vitiates the potential relevance of temporality as a critical resource - or set of resources - for ethnography. The seminar unsettles that distinction from various angles  and explores the relevance of temporality in current ethnographic writing on law  politics  labor  forms of life beyond the human  and ethnography itself. The purpose of the seminar is to bring new times to ethnographic inquiry. , ANT 541 ,,-1,ANT
NULL,Atmospheric Radiative Transfer , Yi Ming   Venkatachalam Ramaswamy , Structure and composition of terrestrial atmospheres. Fundamental aspects of electromagnetic radiation. Absorption and emission by atmospheric gases. Optical extinction of particles. Roles of atmospheric species in Earth's radiative energy balance. Perturbation of climate due to natural and antropogenic causes. Satellite observations of climate system. , AOS 527 GEO 527 ,,3.832,AOS
NULL,Introduction to Geophysical Fluid Dynamics , Stephen T. Garner   Stephen M. Griffies , Physical principles fundamental to the theoretical  observational  and experimental study of the atmosphere and oceans. The equations of motion for rotating fluids. Hydrostatic and geostrophic balance. Conservation of potential vorticity. Introduction to quasi-geostrophic theory and baroclinic instability. Geophysical boundary layers. Rossby and gravity waves. , AOS 571 ,,3.2300000000000004,AOS
NULL,Current Topics in Dynamic Meteorology - Large-Scale Structure /Atmosphere , Isaac M. Held ," Dynamical concepts needed to develop a qualitative understanding of the large-scale structure of the atmospheric circulation. The control of the angular momentum budget by Rossby wave fluxes. Theories for the Hadley circulation in the tropics and the ""macro-turbulence"" of midlatitudes. Linear theories for deviations from zonal symmetry of the mean flow. ", AOS 576 APC 576 ,,4.531999999999999,AOS
NULL,Analytical Techniques in Differential Equations , Jong-Kyu Park , Asymptotic methods  Dominant balance  ODEs: initial and Boundary value problems  Wronskian  Green's functions  Complex Variables: Cauchy's theorem  Taylor and Laurent expansions  Approximate Solution of Differential Equations  singularity type  Series expansions. Asymptotic Expansions. Stationary Phase  Saddle Points  Stokes phenomena. WKB Theory: Stokes constants  Airy function  Derivation of Heading's rules  bound states  barrier transmission. Asymptotic evaluation of integrals  Laplace's method  Stirling approximation  Integral representations  Gamma function  Riemann zeta function. Boundary Layer problems  Multiple Scale Analysis , APC 503 AST 557 ,,4.13,APC
NULL,Software Engineering for Scientific Computing , James M. Stone , The goal of this course is to teach basic tools and principles of writing good code  in the context of scientific computing. Specific topics include an overview of relevant compiled and interpreted languages  build tools and source managers  design patterns  design of interfaces  debugging and testing  profiling and improving performance  portability  and an introduction to parallel computing in both shared memory and distributed memory environments. The focus is on writing code that is easy to maintain and share with others. Students will develop these skills through a series of programming assignments and a group project. , APC 524 MAE 506 AST 506 ,,4.016,APC
NULL,Elementary Arabic I ," Nancy A. Coffin,   Faris Al Ahmad   Gregory J. Bell   Tarek F. Elsayed   Thomas H. Hefter ", This class develops the basic structures and vocabulary for understanding  speaking  writing and reading Modern Standard Arabic  the shared formal variety of Arabic used throughout the Arab world. Students will also gain some familiarity with both Egyptian and Syrian colloquial dialects. Classroom activities are designed to foster communication and cultural competence through comprehension and grammar exercises  skits  conversation  and the use of a variety of audio-visual materials. , ARA 101 ,,4.19,ARA
NULL,Intermediate Arabic I ," Nancy A. Coffin,   Faris Al Ahmad   Gregory J. Bell ", This course builds on the skills developed in Elementary Arabic. Students in this course work to improve their proficiency in speaking  listening  reading and writing. We will focus primarily on Modern Standard Arabic in reading and writing  but Levantine and/or Egyptian dialect will be used in informal speaking and listening exercises. , ARA 105 ,,3.996666666666666,ARA
NULL,Advanced Arabic I , Nancy A. Coffin   Thomas H. Hefter , This course will focus almost exclusively on grammar and classical texts. Language of instruction will be English. , ARA 301 ,,3.723333333333333,ARA
NULL,Media Arabic I , Hannah Essien , In this course  students will develop their skills in reading and listening to Arabic news media  including newspapers  magazines  websites  radio and satellite TV broadcasts (including BBC and al-Jazeera  among others). Attention will also be given to informal discussion of current news  and we will also take a brief look at political cartoons. Language of instruction will be primarily Arabic. , ARA 303 ,,3.8949999999999996,ARA
NULL,Egyptian Colloquial Arabic , Tarek F. Elsayed , An introduction to the spoken dialects of Egypt  particularly of Cairo. Students in this course are assumed to have a functional  working knowledge of classical Arabic  and the course will focus on developing the ability to use conversational language in common  everyday situations. , ARA 307 ,,4.636666666666666,ARA
NULL,Topics in Arabic Language and Culture - Reading Arab Authors from the Age of the Arab Renaissance , Tarek F. Elsayed , Through readings drawn from the era of Nahda  students will develop their skills in listening  speaking  writing and reading via the reading and discussion  in Arabic  of a variety of texts  including works on history  autobiography  politics  religion and the social sciences. Analytical and compositional skills will be honed  and students will be expected to prepare an individual final reading and writing project for the course. , ARA 403 ,,4.586666666666667,ARA
NULL,Introduction to Architectural Thinking , Julian M. Rose , The objective of this course is to provide a broad overview of the discipline of architecture: its history  theories  methodologies; its manners of thinking and working. Rather than a chronological survey  the course will be organized thematically  with examples drawn from a range of historical periods as well as contemporary practice. Through lectures  readings  and discussions every student will acquire a working knowledge of key texts  buildings and architectural concepts. , ARC 203 , LA ,3.59,ARC
NULL,Interdisciplinary Design Studio , Mario I. Gandelsonas , The course focuses on the social forces that shape design thinking. Its objective is to introduce architectural and urban design issues to build design and critical thinking skills from a multidisciplinary perspective. The studio is team-taught from faculty across disciplines to expose students to the multiple forces within which design operates. , ARC 205 URB 205 LAS 225 ENV 205 , LA ,-1,ARC
NULL,History of Architectural Theory , Lucia Allais , This course offers a history of architectural theory  criticism  and historiography from the Renaissance to the present  emphasizing the texts  media and institutions that have supported architecture's claim to modernity since the late 17th Century. Architectural thought is examined in its social and cultural context as it relates both to the Western philosophical tradition and to design method and practice. , ARC 308 ART 328 , HA ,3.9,ARC
NULL,Building Science and Technology: Building Systems , Staff , This course introduces students to the art and science of building. Emphasis will be placed gaining an understanding of construction materials  methods and the process of translating design ideas into built form. Specific topics are introduced each week during the two one-hour lectures. These topics are then further explored  and students gain hands on experience  each week during the two-hour laboratory component of the course. , ARC 311 ,,3.6366666666666667,ARC
NULL,Junior Studio , Gia F. Wolff , This course will focus on a number of specific design techniques in a highly regimented manner. The theme of this semester will be the relationship between geometry and matter in the development of a piece of furniture. We will explore the nature of these complex surfaces and the effects of a limited but continuous enclosed environment on human functions. We will elaborate our skills in model-building  with particular emphasis placed on the value of accurate representation both by fostering craft and by exploring novel techniques of fashioning and representing precise geometries. , ARC 350 ,,4.25,ARC
NULL,Computational Design , Axel Kilian , This course is an introduction to computational design using a range of design concepts from NURBS modeling  simple programming and parametric modeling to basic digital fabrication and electronics. Through a series of computational exercises  presentations  and in-class discussions  we will investigate the evolving relationship between models of design and generative design issues of technology and culture in architecture. , ARC 374 , LA ,3.692,ARC
NULL,Theories of Housing and Urbanism , Andrew Laing , The seminar will explore theories of urbanism and housing by reading canonical writers who have created distinctive and influential ideas about urbanism and housing from the nineteenth century to the present. The writers are architects  planners  and social scientists. The theories are interdisciplinary. One or two major works will be discussed each week. We will critically evaluate their relevance and significance for architecture now. Topics include: modernism  technological futurism  density  the new urbanism  the networked city  landscape urbanism  and sustainable urbanism. , ARC 401 , SA ,4.327999999999999,ARC
NULL,Topics in the History and Theory of Architecture , Staff ," We will consider that a successful thesis entails the meeting of a socio-cultural problematic with a specific disciplinary issue  that the confluence and exchange between these external and internal situations can instigate an original contribution to architectural knowledge and technique. The ""newness"" of this contribution comes through a particular kind of repetition  a wily swerve within the established canon. The seminar will introduce disciplinary methods and themes through close readings of architectural texts and objects and will provide a workshop for the testing and elaboration of architectural polemics through directed research. ", ARC 403 , LA ,4.851999999999999,ARC
NULL,Advanced Design Studio , Annie R. Barrett , The Advanced Design Studio examines architecture as cultural production  taking into account its capacity to structure both physical environments and social organizations. A specific problem or topic area will be set by each studio critic  and may include a broad range of building types  urban districts or regional landscapes  questions of sustainability  building materials or building performance. Studio work will include research and data gathering  analysis and program definition. Students are expected to master a full range of design media  including drawing  model-making and computer-aided design. , ARC 404 ,,3.86,ARC
NULL,Architecture Design Studio , Michael Meredith , Design Studio , ARC 501 ,,3.7640000000000002,ARC
NULL,Integrated Building Studios , Jesse A. Reiser , Explores architecture as a social art and the spatial organization of the human environment. Projects include a broad range of problem types  including individual buildings  groups of buildings  urban districts  and landscapes. , ARC 503 ,,4.529999999999999,ARC
NULL,Architecture Design Studio , Staff , The Vertical Design Studio emphasizes site organization  the development of building plans  and the accompanying expression of architectural character in three dimensions. , ARC 505A ,,4.9,ARC
NULL,Architecture Design Studio , Axel Kilian , The Vertical Design Studio emphasizes site organization  the development of building plans  and the accompanying expression of architectural character in three dimensions. , ARC 505B ,,4.548,ARC
NULL,Architecture Design Studio , Staff , The Vertical Design Studio emphasizes site organization  the development of building plans  and the accompanying expression of architectural character in three dimensions. It explores architecture as a social art and the spatial organization of the human environment. Projects include a broad range of problem types  including individual buildings  groups of buildings  urban districts  and landscapes. , ARC 505C ,,3.728,ARC
NULL,Thesis Studio , Michael Meredith , The Master of Architecture Thesis is an independent design project on a theme selected by the student  incorporating research  programming  and site definition. , ARC 507 ,,3.91,ARC
NULL,Structural Analysis for Architecture , Nat Oppenheimer , After having taken this class  students are able to: 1) Recognize and explain how external forces (due to people  wind  heat etc) act upon rigid bodies (eg.a skateboard  bridge  cable and arches  frames  grids and plates  shells and membranes) in the real world  2) Identify and apply the appropriate analytical approach to quantify how strong such a rigid body is under the applied loading  3) Write an informed critique about prominent structural designs. , ARC 510 ,,3.8383333333333334,ARC
NULL,The Environmental Engineering of Buildings  Part I , Mahadev Raman , The first part of a sequence taught over two terms that provides a broad introduction to Building Systems  Environmental Control and Energy Conservation. Sustainable design themes and environmentally responsible practices are stressed throughout and form a backdrop to all the instructional material provided. The fall course focuses on fundamental concepts and provides an introduction to Mechanical  Electrical  Plumbing  Lighting  Acoustical and Life Safety systems. ARC 515  taught in the spring  considers the design process and the integration of these systems into buildings. , ARC 514 ,,3.4979999999999998,ARC
NULL,Climate Change  Adaptation and Urban Design , Guy J.P. Nordenson , Climate change adaptation is a pressing and difficult challenge to urban design  ecological and engineering planning theory and practice. It is clear that architects  planners  engineers and designers have an important role to help cities contend with climate adaptation. This seminar reviews the general state of science and practice of climate change and adaptation with a primary focus on the United States. It looks to the work of Frederick Law Olmsted for some of the theoretical basis of developing an approach to climate adaptation that is democratic and progressive and evaluate the impediments which restrict change. , ARC 519 ,,3.632,ARC
NULL,Elemental Building Function , Forrest M. Meggers , This course will build a discourse encompassing the many aspects of building function to try to rediscover the best role of the architect. We will attempt to discover what level of functional system knowledge is appropriate for the architect today. A palette of potentially complex topics will be provided to explore building function  but to avoid the seminar becoming overly technical  it will be grounded in the basic elements of function that one might imagine: Aristotle's Air  Fire  Earth  and Water. Air: space and comfort; Fire: energy and operation; Earth: materials and construction; Water: flow and systems , ARC 521 ,,3.6659999999999995,ARC
NULL,Mapping the City: Cities and Cinema , M. Christine Boyer , A seminar focusing on city imagery and architectural entertainments by examining different methods of framing the city through travel  in the theater  through the invention of traditions  at the museum  from the cinema  or through its architectural composition and spatial configuration. , ARC 525 MOD 524 ,,-1,ARC
NULL,M.Arch. Thesis Seminar , Elizabeth Diller   Jaffer A. Kolb , This course will support students in the development of a broad range of thesis topics optimized to the faculty of the SoA. A series of exercises will guide students to identify the primary questions that currently structure the discipline and those extra-disciplinary concerns which architecture must engaged today. Throughout the work  analyses of these issues will be linked to contemporary architectural production. All work will be conducted by small teams and will harness the dynamic feedback between specifically architectural problematics and the general logic of contemporary culture in preparation for future thesis work. , ARC 530 ,,3.7920000000000003,ARC
NULL,Proseminar for Post-Professional M.Arch. , Stanley T. Allen , A series of exercises guide students to identify the primary questions that currently structure the discipline and extra-disciplinary concerns which architecture must engaged today. Analyses of these issues are linked to contemporary architectural production. Each week students present from the format list. The focus in the formats and their connections substitute buildings analysis or close readings of texts as isolated arguments  and should help discern the diversity of threads they open. Our goal is to describe value systems and discursive paths used not only to evaluate but also reconstitute architectural practice. , ARC 531 ,,4.639999999999999,ARC
NULL,The Philosophy of Urban History , Manuel J. DeLanda , The class introduces students to the branch of the philosophy of history that specializes in cities. Cities are social entities that exist at an intermediate scale between the micro-level of individuals and the macro-level of society as a whole. Social science has tended to focus at those two extremes  while the intermediate meso-level has been neglected. The philosophy of urban history aims at remedying this situation  stressing not only the role of cities as historical actors  but also the role of other meso-level social entities from local communities and institutional organizations to urban regions and provinces. , ARC 545 ,,4.08,ARC
NULL,Introduction to Formal Analysis , V. Mitch McEwen , Introduction to the primary projective systems that form the foundations of architectural representation and serve as essential tools of formal analysis and design. Coursework will be derived from a structured examination of key primary sources by Gaspard Monge  Brook Taylor and Girard Desargues. , ARC 547 ,,4.61,ARC
NULL,Aesthetics  Tectonics  and Materiality in Semper's Theoretical Writings , Spyros Papapetros , An in depth survey of Gottfried Semper's theoretical writings  including a close reading of his Style in the Technical and Tectonic Arts or Practical Aesthetics  as well as the architect's writings on the basic elements of architecture  ornament  industrial arts  and his general theory of form. Semper's texts are set in context by readings in philosophy  anthropology  natural science  and political theory by authors from Semper's circle and implemented by an analysis of recent texts on aesthetics  tectonics  materiality  and theories of the object , ARC 558 ,,4.523999999999999,ARC
