LEGEND,NAME,ALIGN,EYE,HAIR,SEX,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
,Eugene Thompson (Earth-616),Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,Living Characters,689,Aug-62,1962
,Simon Williams (Earth-616),Good Characters,Red Eyes,Grey Hair,Male Characters,Living Characters,686,Oct-64,1964
,Samuel Guthrie (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,657,Nov-82,1982
,James Buchanan Barnes (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,641,Mar-41,1941
,Remy LeBeau (Earth-616),Good Characters,Black Eyeballs,Brown Hair,Male Characters,Living Characters,636,Jul-90,1990
,Daniel Rand (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,618,May-74,1974
,Nathan Summers (Earth-616),Neutral Characters,Blue Eyes,White Hair,Male Characters,Living Characters,612,Jan-86,1986
,Elizabeth Brant (Earth-616),Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,599,Sep-63,1963
,Richard Jones (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,590,May-62,1962
,Edwin Jarvis (Earth-616),Good Characters,Blue Eyes,White Hair,Male Characters,Living Characters,567,Nov-64,1964
,Alexander Summers (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,558,Mar-69,1969
,Patricia Walker (Earth-616),Good Characters,Blue Eyes,Red Hair,Female Characters,Living Characters,550,Nov-44,1944
,Human Torch (Android) (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,548,Oct-39,1939
,Loki Laufeyson (Earth-616),Neutral Characters,Green Eyes,Black Hair,Genderfluid Characters,Living Characters,532,Aug-49,1949
,Franklin Nelson (Earth-616),Good Characters,Blue Eyes,Bald,Male Characters,Living Characters,528,Apr-64,1964
,Brian Braddock (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,528,Oct-76,1976
,Otto Octavius (Earth-616),Neutral Characters,Hazel Eyes,Brown Hair,Male Characters,Deceased Characters,526,Jul-63,1963
,James Rhodes (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,525,Jan-79,1979
,Timothy Dugan (Earth-616),Good Characters,Blue Eyes,Red Hair,Male Characters,Deceased Characters,517,May-63,1963
,Crystalia Amaquelin (Earth-616),Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,Living Characters,512,Dec-65,1965
,Samuel Wilson (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,512,Sep-69,1969
,Wilson Fisk (Earth-616),Bad Characters,Blue Eyes,Bald,Male Characters,Living Characters,503,Jul-67,1967
,Odin Borson (Earth-616),Neutral Characters,Blue Eyes,White Hair,Male Characters,Living Characters,502,Oct-62,1962
,Deadpool (Wade Wilson),Neutral Characters,Brown Eyes,Bald,Male Characters,Living Characters,500,Feb-91,1991
,Dane Whitman (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,478,Dec-67,1967
,Harold Osborn (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,474,Dec-65,1965
,Franklin Richards (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,473,Nov-68,1968
,Jessica Drew (Earth-616),Good Characters,Green Eyes,Auburn Hair,Female Characters,Living Characters,471,Feb-77,1977
,Roberto da Costa (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,464,Nov-82,1982
,Rahne Sinclair (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,448,Nov-82,1982
,Elizabeth Ross (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,446,May-62,1962
,Lorna Dane (Earth-616),Good Characters,Green Eyes,Green Hair,Female Characters,Living Characters,433,Oct-68,1968
,Blaine Colt (Earth-616),,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,429,,
,Johnathon Blaze (Earth-616),Good Characters,Blue Eyes,Reddish Blond Hair,Male Characters,Living Characters,426,Aug-72,1972
,Sif (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,422,Mar-64,1964
,Red Hulk (Thaddeus Ross),Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,415,May-62,1962
,Jubilation Lee (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,408,May-89,1989
,Volstagg (Earth-616),Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,406,Aug-65,1965
,Balder Odinson (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,403,Oct-62,1962
,Galactus (Earth-616),Neutral Characters,Brown Eyes,No Hair,Male Characters,Living Characters,390,Mar-66,1966
,Danielle Moonstar (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,388,Nov-82,1982
,Marc Spector (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,387,Aug-75,1975
,Gwendolyne Stacy (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Deceased Characters,384,Dec-65,1965
,Medusalith Amaquelin (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,382,Mar-65,1965
,Sabretooth (Victor Creed),Bad Characters,Amber Eyes,Blond Hair,Male Characters,Living Characters,382,Aug-77,1977
,Illyana Rasputina (Earth-616),Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,380,May-75,1975
,Johann Shmidt (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,376,Aug-41,1941
,Fandral (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,375,Aug-65,1965
,Sean Cassidy (Earth-616),Neutral Characters,Green Eyes,Strawberry Blond Hair,Male Characters,Living Characters,374,Jan-67,1967
,Thomas Raymond (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,373,Sep-40,1940
,Uatu (Earth-616),Good Characters,Blue Eyes,Bald,Male Characters,Deceased Characters,373,Apr-63,1963
,Richard Rider (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,373,Sep-76,1976
,Hogun (Earth-616),Good Characters,Grey Eyes,Black Hair,Male Characters,Living Characters,371,Aug-65,1965
,Raven Darkholme (Earth-616),Bad Characters,Yellow Eyes,Red Hair,Female Characters,Living Characters,371,Apr-78,1978
,Barbara Morse (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,368,Jun-71,1971
,Blackagar Boltagon (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,366,Dec-65,1965
,Brunnhilde (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,361,Dec-70,1970
,Alison Blaire (Earth-616),Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters,353,Feb-80,1980
,Venom (Symbiote) (Earth-616),Neutral Characters,Variable Eyes,No Hair,Agender Characters,Living Characters,348,May-84,1984
,John Walker (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,346,Nov-86,1986
,Greer Grant (Earth-616),Good Characters,Green Eyes,Black Hair,Female Characters,Living Characters,342,Nov-72,1972
,Karla Sofen (Earth-616),Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,340,Dec-75,1975
,William Baker (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,338,Sep-63,1963
,Sharon Carter (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,332,Mar-66,1966
,Felicia Hardy (Earth-616),Bad Characters,,Blond Hair,Female Characters,Living Characters,332,Jul-79,1979
,Cain Marko (Earth-616),Neutral Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,329,Jul-65,1965
,Monica Rambeau (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,327,,
,Maria Hill (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,325,5-Apr,2005
,Ben Urich (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,324,Jul-78,1978
,Heather Douglas (Earth-616),Good Characters,Blue Eyes,Bald,Female Characters,Living Characters,323,Jan-73,1973
,Millicent Collins (Earth-616),,Blue Eyes,Blond Hair,Female Characters,Living Characters,321,Dec-45,1945
,James Proudstar (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,320,Jun-84,1984
,Angelica Jones (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,319,May-85,1985
,Edward Brock (Earth-616),Neutral Characters,Black Eyes,Blond Hair,Male Characters,Living Characters,318,Sep-86,1986
,MacDonald Gargan (Earth-616),Bad Characters,Brown Eyes,Bald,Male Characters,Living Characters,317,Dec-64,1964
,Mephisto (Earth-616),Bad Characters,White Eyes,Black Hair,Male Characters,Living Characters,316,Dec-68,1968
,Tabitha Smith (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,316,Nov-85,1985
,Jean-Paul Beaubier (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,313,Apr-79,1979
,Daniel Ketch (Earth-616),Neutral Characters,Green Eyes,Brown Hair,Male Characters,Living Characters,311,May-90,1990
,Neena Thurman (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,310,Mar-92,1992
,Wong (Earth-616),Good Characters,Brown Eyes,Bald,Male Characters,Living Characters,306,Jul-63,1963
,Thanos (Earth-616),Bad Characters,Red Eyes,No Hair,Male Characters,Living Characters,306,Feb-73,1973
,Shang-Chi (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,296,Dec-73,1973
,Alicia Masters (Earth-616),Good Characters,Brown Eyes,Strawberry Blond Hair,Female Characters,Living Characters,293,Nov-62,1962
,Robert Baldwin (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,293,Sep-88,1988
,Vance Astrovik (Earth-616),Good Characters,Hazel Eyes,Brown Hair,Male Characters,Living Characters,290,Jul-75,1975
,Wendell Vaughn (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,290,Jan-78,1978
,Chili Storm (Earth-616),,Green Eyes,Red Hair,Female Characters,Living Characters,284,Oct-48,1948
,Abner Jenkins (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,284,Aug-64,1964
,Elektra Natchios (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,280,Jan-81,1981
,Bullseye (Lester) (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,277,Mar-76,1976
,Forge (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,276,Aug-84,1984
,Virginia Potts (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,274,Sep-63,1963
,Walter Langkowski (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,273,Apr-79,1979
,Gorgon (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,272,Nov-65,1965
,James Madrox (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,271,Feb-75,1975
,Heimdall (Earth-616),Good Characters,Grey Eyes,Brown Hair,Male Characters,Living Characters,270,Oct-62,1962
,Theresa Cassidy (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,267,Apr-81,1981
,Laura Kinney (Earth-616),Good Characters,Green Eyes,Black Hair,Female Characters,Living Characters,265,4-Feb,2004
,Arthur Douglas (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,264,Feb-73,1973
,Peter Parker (Ben Reilly) (Earth-616),Good Characters,Hazel Eyes,Blond Hair,Male Characters,Deceased Characters,263,Oct-75,1975
,Warlock (Technarch) (Earth-616),Good Characters,Black Eyes,No Hair,Male Characters,Living Characters,261,Aug-84,1984
,Kevin Plunder (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,260,Mar-65,1965
,Leonard Samson (Earth-616),Good Characters,Brown Eyes,Green Hair,Male Characters,Deceased Characters,260,Jul-71,1971
,Melissa Gold (Earth-616),Good Characters,Green Eyes,Blond Hair,Female Characters,Living Characters,260,Aug-79,1979
,Lockheed (Earth-616),Good Characters,,No Hair,Male Characters,Living Characters,260,Feb-83,1983
,Mercedes Knight (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,259,Mar-72,1972
,Moira Kinross (Earth-616),Good Characters,Blue Eyes,Brown Hair,Female Characters,Deceased Characters,259,Dec-75,1975
,Karnak (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,257,Dec-65,1965
,Namorita Prentiss (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Deceased Characters,257,Jun-72,1972
,Lockjaw (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,255,Dec-65,1965
,Adam Warlock (Earth-616),Good Characters,White Eyes,Gold Hair,Male Characters,Living Characters,252,Sep-67,1967
,Heather McNeil (Earth-616),Neutral Characters,Green Eyes,Red Hair,Female Characters,Living Characters,252,Nov-80,1980
,Curtis Connors (Earth-616),Neutral Characters,Red Eyes,No Hair,Male Characters,Living Characters,250,Nov-63,1963
,Theodore Sallis (Earth-616),Good Characters,Red Eyes,No Hair,Male Characters,Living Characters,249,May-71,1971
,Adrian Toomes (Earth-616),Bad Characters,Hazel Eyes,Bald,Male Characters,Living Characters,248,May-63,1963
,Amora (Earth-616),Bad Characters,Green Eyes,Blond Hair,Female Characters,Living Characters,247,Apr-64,1964
,Clea (Earth-616),Good Characters,Blue Eyes,White Hair,Female Characters,Living Characters,247,Nov-64,1964
,Mar-Vell (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,245,Dec-67,1967
,Eugene Judd (Earth-616),Good Characters,Brown Eyes,Bald,Male Characters,Living Characters,245,Aug-83,1983
,Daimon Hellstrom (Earth-616),Neutral Characters,Red Eyes,Red Hair,Male Characters,Living Characters,242,Sep-73,1973
,John Jonah Jameson III (Earth-616),Good Characters,Brown Eyes,Auburn Hair,Male Characters,Living Characters,240,Mar-63,1963
,Triton (Earth-616),Good Characters,Green Eyes,No Hair,Male Characters,Living Characters,240,Dec-65,1965
,Meggan Puceanu (Earth-616),Good Characters,,,Female Characters,Living Characters,240,Dec-83,1983
,Robert Reynolds (Earth-616),Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,240,Sep-00,2000
,Aleksei Sytsevich (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,239,Oct-66,1966
,Santo Vaccarro (Earth-616),Good Characters,White Eyes,No Hair,Male Characters,Living Characters,238,3-Sep,2003
,Jonathan Clay (Earth-616),Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,237,Aug-60,1960
,Ares (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,236,Apr-49,1949
,Sersi (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,236,Sep-76,1976
,Guido Carosella (Earth-616),Neutral Characters,Brown Eyes,Bald,Male Characters,Living Characters,236,Jul-85,1985
,Zabu (Earth-616),Good Characters,Green Eyes,Orange Hair,Male Characters,Living Characters,234,Mar-65,1965
,Michael Morbius (Earth-616),Neutral Characters,Red Eyes,Black Hair,Male Characters,Living Characters,231,Oct-71,1971
,Julio Richter (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,231,Jun-87,1987
,Phoenix Force (Earth-616),Neutral Characters,,No Hair,,Deceased Characters,229,Oct-76,1976
,Megan Gwynn (Earth-616),Good Characters,Black Eyeballs,Pink Hair,Female Characters,Living Characters,229,4-Nov,2004
,Kyle Richmond (Earth-616),Good Characters,Brown Eyes,Auburn Hair,Male Characters,Living Characters,227,Oct-69,1969
,Karen Page (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Deceased Characters,226,Apr-64,1964
,Tyrone Johnson (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,226,Mar-82,1982
,Maxwell Dillon (Earth-616),Bad Characters,Blue Eyes,Auburn Hair,Male Characters,Living Characters,225,Feb-64,1964
,Valerie Cooper (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,225,Dec-83,1983
,Anna May (Earth-616),Good Characters,Blue Eyes,White Hair,Female Characters,Living Characters,224,Aug-64,1964
,Vlad Dracula (Earth-616),Bad Characters,Red Eyes,White Hair,Male Characters,Living Characters,223,Mar-51,1951
,Tandy Bowen (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,222,Mar-82,1982
,Monet St. Croix (Earth-616),Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,221,Nov-94,1994
,Gamora (Earth-616),Neutral Characters,Yellow Eyes,Black Hair,Female Characters,Living Characters,218,Jun-75,1975
,Amara Aquilla (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,217,Oct-83,1983
,Julia Carpenter (Earth-616),Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters,212,Oct-84,1984
,Jane Foster (Earth-616),Good Characters,Blue Eyes,Brown Hair,Female Characters,Living Characters,211,Sep-62,1962
,Mortimer Toynbee (Earth-616),Neutral Characters,Black Eyes,Brown Hair,Male Characters,Living Characters,210,Mar-64,1964
,Scott Lang (Earth-616),Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,Living Characters,209,Mar-79,1979
,Paige Guthrie (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,207,Nov-84,1984
,Benjamin Parker (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,205,Aug-62,1962
,Erik Josten (Earth-616),Good Characters,Brown Eyes,Red Hair,Male Characters,Living Characters,204,Oct-65,1965
,Jeanne-Marie Beaubier (Earth-616),Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,203,Apr-79,1979
,Carl Creel (Earth-616),Bad Characters,Blue Eyes,Bald,Male Characters,Living Characters,202,Apr-64,1964
,Gloria Grant (Earth-616),,Brown Eyes,Black Hair,Female Characters,Living Characters,202,Jan-75,1975
,Michael Twoyoungmen (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,200,Apr-79,1979
,Hope Summers (Earth-616),Good Characters,Green Eyes,Red Hair,Female Characters,Living Characters,200,8-Jan,2008
,Eric Masterson (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,198,May-88,1988
,Alexander Power (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,197,Aug-84,1984
,Matthew Hawk (Earth-616),Good Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,195,Nov-62,1962
,Jessica Jones (Earth-616),Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,195,Sep-63,1963
,Frederick Dukes (Earth-616),Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,194,Jan-64,1964
,Eric Brooks (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,194,Jul-73,1973
,Eros (Earth-616),Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,193,Feb-73,1973
,Madison Jeffries (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,193,Aug-83,1983
,Mandarin (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,190,Feb-64,1964
,The Wizard (Earth-616),Bad Characters,Hazel Eyes,Brown Hair,Male Characters,Living Characters,189,Nov-62,1962
,Akihiro (Earth-616),Bad Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,189,6-Oct,2006
,Sergei Kravinoff (Earth-616),Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,188,Aug-64,1964
,Jonothon Starsmore (Earth-616),Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,187,Nov-94,1994
,Helmut Zemo (Earth-616),Bad Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,184,Dec-73,1973
,Victor Borkowski (Earth-616),Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,184,3-Aug,2003
,Edward Leeds (Earth-616),Neutral Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,181,Nov-64,1964
,Ultron (Earth-616),Bad Characters,Red Eyes,No Hair,Male Characters,Deceased Characters,181,Jul-68,1968
,Douglas Ramsey (Earth-616),Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,181,Mar-84,1984
,Quentin Beck (Earth-616),Bad Characters,Blue Eyes,Bald,Male Characters,Living Characters,180,Jun-64,1964
,Herbert Wyndham (Earth-616),Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,179,Nov-66,1966
,Julian Keller (Earth-616),Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,179,3-Aug,2003
,Jack Russell (Earth-616),Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,178,Feb-72,1972
,Celeste Cuckoo (Earth-616),Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,177,1-Nov,2001
,Valentina Allegra de Fontaine (Earth-616),Neutral Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,176,Aug-67,1967
,Ophelia Sarkissian (Earth-616),Bad Characters,Green Eyes,Black Hair,Female Characters,Living Characters,175,Feb-69,1969
